Name,Restaurant_Type,Address,Zip_Code,Phone
Aapka - Indisches Restaurant Berlin,Indisches Restaurant,Maybachufer 23,12047 Berlin–Neukölln,(030) 613 554 7
Alte Welt Siralti,Tuerkisches Restaurant,Lucy-Lameck-Str. 44,12049 Berlin–Neukölln,None
[a’lu],Griechisches Restaurant,Nansenstr. 3,12047 Berlin–Neukölln,(030) 556 025 48
Inh. Ram Parshad Punni,Indisches Restaurant,Hermannstr. 93,12051 Berlin–Neukölln,(030) 626 398 6
Ammazza Che Pizza,Italienisches Restaurant,Maybachufer 21,12047 Berlin–Neukölln,(030) 896 165 56
Anh Em Restaurant,Vietnamesisches Restaurant,Hermannstr. 154,12051 Berlin–Neukölln,(0162) 478 275 4
Ankerklause,Internationales Restaurant,Kottbusser Damm 104 - Ecke Maybachufer,10967 Berlin–Neukölln,(030) 693 564 9
Apne,Indisches Restaurant,Schlierbacher Weg 7-9,12349 Berlin–Neukölln,(030) 503 650 85
Asien Farmhouse,Asiatisches Restaurant,Pannierstr. 54,12047 Berlin–Neukölln,(030) 612 999 05
Atilas Kebab Haus,Imbiss,Parchimer Allee 33,12359 Berlin–Neukölln,(030) 665 262 37
Avatar Indisches Restaurant,Indisches Restaurant,Weserstr. 5,12047 Berlin–Neukölln,(030) 629 046 56
Azzam,Arabisches Restaurant,Sonnenallee 54,12045 Berlin–Neukölln,(0179) 184 179 1
Ban Ban Kitchen,Koreanisches Restaurant,Schillerpromenade 32,12049 Berlin–Neukölln,None
Barra,Europaeisches Restaurant,Okerstr. 2,12049 Berlin–Neukölln,(030) 818 607 57
Berlinburger International,Burger,Pannierstr. 5,12047 Berlin–Neukölln,(0160) 482 650 5
Britzer Mühle,Deutsches Restaurant,Buckower Damm 130,12349 Berlin–Neukölln,(030) 604 181 9
Britzer Seeterrassen,Mediterranes Restaurant,Mohriner Allee 145,12347 Berlin–Neukölln,(030) 703 608 7
Buchholz Gutshof Britz,Deutsches Restaurant,Alt-Britz 81,12359 Berlin–Neukölln,(030) 600 346 07
Burger King Beteiligungs GmbH,Fast Food,Buckower Damm 11,12349 Berlin–Neukölln,(030) 629 890 41
Burgerzimmer,Burger,Hermannstr. 232,12047 Berlin–Neukölln,(030) 914 584 60
Burgerzimmer,Burger,Karl-Marx-Str. 210,12055 Berlin–Neukölln,(030) 265 700 55
Burgerzimmer,Burger,Alt-Rudow 57,12357 Berlin–Neukölln,(0163) 034 068 4
Burrito Baby,Mexikanisches Restaurant,Pflügerstr. 11,12047 Berlin–Neukölln,(030) 338 515 20
Café Jacques,Franzoesisches Restaurant,Maybachufer 14,12047 Berlin–Neukölln,(030) 694 104 8
Café Restaurant Mimosa,Franzoesisches Restaurant,Richardstr. 103,12043 Berlin–Neukölln,(0176) 823 629 45
Café Restaurant Villa Rixdorf,Internationales Restaurant,Richardplatz 6,12055 Berlin–Neukölln,(030) 680 860 00
Café Rix GmbH,Mediterranes Restaurant,Karl-Marx-Str. 141,12043 Berlin–Neukölln,(030) 686 90 20
Cafe Tetova,Bistro,Sonnenallee 66,12045 Berlin–Neukölln,(030) 700 819 39
Café Tschüsch,Indisches Restaurant,Fuldastr. 12,12045 Berlin–Neukölln,(030) 544 844 14
Louis Café-Restaurant,Oesterreichisches Restaurant,Richardplatz 5,12055 Berlin–Neukölln,(030) 681 021 0
Call a Pizza,Pizzaservice,Uhrmacherweg 2,12355 Berlin–Neukölln,(030) 668 699 66
Capperi,Italienisches Restaurant,Pannierstr. 32 - Maybachufer,12047 Berlin–Neukölln,(030) 629 899 11
Caputo,Pizzeria,Sanderstr. 5,12047 Berlin–Neukölln,(030) 257 596 04
Casa Montella,Italienisches Restaurant,Krokusstr. 80,12357 Berlin–Neukölln,(030) 662 039 5
Chelany Neukölln,Pakistanisches Restaurant,Friedelstr. 41,12047 Berlin–Neukölln,(030) 417 686 88
Thi Hao Nguyen,Vietnamesisches Restaurant,Friedelstr. 31,12047 Berlin–Neukölln,(030) 530 512 05
Chicha,Internationales Restaurant,Friedelstr. 34,12047 Berlin–Neukölln,None
China-Restaurant Fu Long,Chinesisches Restaurant,Britzer Damm 18,12347 Berlin–Neukölln,(030) 626 777 7
Chutnify,Indisches Restaurant,Pflügerstr. 25,12047 Berlin–Neukölln,None
City Chicken,Imbiss,Sonnenallee 59,12047 Berlin–Neukölln,(030) 624 860 0
CocoLiebe,Internationales Restaurant,Richardstr. 107,12043 Berlin–Neukölln,(030) 235 813 36
Coda Dessert Dining,Gourmetrestaurant,Friedelstr. 47,12047 Berlin–Neukölln,(030) 914 963 96
Colo Colo Empanadas,Mediterranes Restaurant,Selchowerstr. 35,12049 Berlin–Neukölln,(030) 915 611 18
"Demlik Café Bistro, Inhaber: S. Yatci",Bistro,Kottbusser Damm 75,10967 Berlin–Neukölln,(030) 698 162 00
Die Kantine im Rathaus Neukölln,Kantine,Karl-Marx-Str. 83,12043 Berlin–Neukölln,(030) 689 757 61
Diodata Alt-Österreich,Alpenlaendisches Restaurant,Fritz-Reuter-Allee 182,12359 Berlin–Neukölln,(030) 664 620 46
Ditsch,Fast Food,Johannisthaler Chaussee 321,12351 Berlin–Neukölln,(030) 602 581 46
Ditsch,Fast Food,Karl-Marx-Str. 66,12043 Berlin–Neukölln,(030) 606 902 19
Eins44,Internationales Restaurant,Elbestr. 28-29,12045 Berlin–Neukölln,(030) 629 812 12
El Colmado,Tapasbar,Johannisthaler Str. 10,12351 Berlin–Neukölln,(030) 440 177 27
Event Restaurant Vorwerck,Erlebnisgastronomie,Karl-Marx-Str. 131/133,12043 Berlin–Neukölln,(030) 965 350 43
Filia,Griechisches Restaurant,Johannisthaler Chaussee 400,12351 Berlin–Neukölln,(030) 667 077 80
Fischtheke,Fischrestaurant,Flughafenstr. 35,12053 Berlin–Neukölln,(030) 552 187 82
Föllerei,Deutsches Restaurant,Weichselstr. 30,12045 Berlin–Neukölln,(030) 609 302 76
Forchetta & Company,Italienisches Restaurant,Treseburger Ufer 54,12347 Berlin - Neukölln Britz,(030) 239 420 97
Gasthaus im Wiesengrund,Deutsches Restaurant,Kiefholzstr. 99,12057 Berlin–Neukölln,None
Gazzo,Pizzeria,Hobrechtstr. 57,12047 Berlin–Neukölln,(030) 983 701 04
Hallmann und Klee,Deutsches Restaurant,Böhmische Str. 13,12055 Berlin–Neukölln,(030) 239 381 86
H&D Chay,Veganes Restaurant,Hobrechtstr. 11,12047 Berlin–Neukölln,None
Holy Flat!,Vegetarisches Restaurant,Lenaustr. 10,12047 Berlin–Neukölln,(030) 274 909 79
Hugo Ball,Franzoesisches Restaurant,Saalestr. 38,12055 Berlin–Neukölln,(030) 682 313 57
Il Monte,Italienisches Restaurant,Rudower Str. 173,12351 Berlin–Neukölln,(030) 740 754 05
Imbiss Ercan Bal,Imbiss,U-Bhf Rudow,12357 Berlin–Neukölln,(030) 663 368 4
India Palace II,Indisches Restaurant,Hermannstr. 93,12051 Berlin–Neukölln,(030) 626 398 6
Indian Dhaba Mira,Indisches Restaurant,Pannierstr. 40,12047 Berlin–Neukölln,(030) 629 015 32
Italo-Bistro,Bistro,Sangerhauser Weg 1 - Britzer Garten,12349 Berlin–Neukölln,(030) 701 783 51
Jimmy Woo,Panasiatisches Restaurant,Friedelstr. 24,12047 Berlin–Neukölln,None
Jungfernmühle - Wiesenstein Speisenmeisterei,Deutsches Restaurant,Goldammerstr. 34,12351 Berlin–Neukölln,(030) 797 857 50
Karabach,Arabisches Restaurant,Hermannstraße 198,12049 Berlin–Neukölln,None
Kotti Dang,Vietnamesisches Restaurant,Kottbusser Damm 73 - Ecke Lenaustraße,10967 Berlin–Neukölln,None
Kuschlowski - Speiss und Trank,Veganes Restaurant,Weserstr. 202,12047 Berlin–Neukölln,(0157) 543 962 72
La Bolognina,Italienisches Restaurant,Donaustr. 107,12043 Berlin–Neukölln,(030) 556 344 54
La Pecora Nera,Italienisches Restaurant,Herrfurthplatz 6,12049 Berlin–Neukölln,(030) 688 326 76
La Vie en Toast - Küche & Kantine,Kantine,Harzer Str. 39,12059 Berlin–Neukölln,None
Lalibela,Afrikanisches Restaurant,Herrfurthstr. 32,12049 Berlin–Neukölln,None
Indisches RestaurantLinden-Garten,Indisches Restaurant,Alt-Buckow 15a,12349 Berlin–Neukölln,(030) 604 112 2
Love Burger,Veganes Restaurant,Treptower Str. 90,12059 Berlin–Neukölln,(030) 983 913 25
Lwerks...cultur,Internationales Restaurant,Erkstr. 1,12043 Berlin–Neukölln,(030) 613 963 61
Mae Charoen Thai Imbiss,Thailaendisches Restaurant,Sonnenallee 134,12059 Berlin–Neukölln,(030) 568 293 81
Mama Kalo,Franzoesisches Restaurant,Herrfurthstr. 23,12049 Berlin–Neukölln,(030) 679 627 01
Mann-o-salwa,Pakistanisches Restaurant,Sonnenallee 137,12059 Berlin–Neukölln,None
Marko's Schlemmerstube,Kroatisches Restaurant,Neuköllner Str. 316,12357 Berlin–Neukölln,(030) 661 606 5
Maximilian Fleischwaren GmbH,Imbiss,Juliusstr. 18,12051 Berlin–Neukölln,(030) 313 803 9
McDonald's,Fast Food,Johannisthaler Chaussee 295,12351 Berlin–Neukölln,(030) 602 586 13
McDonald's,Fast Food,Hermannplatz 2-3,10967 Berlin–Neukölln,(030) 613 093 90
McDonald's,Fast Food,Karl-Marx-Str. 66,12043 Berlin–Neukölln,(030) 627 341 38
McDonald's,Fast Food,Rudower Str. 100,12351 Berlin–Neukölln,(030) 602 305 6
McDonald's,Fast Food,Sonnenallee 254,12057 Berlin–Neukölln,(030) 568 238 87
Steakhaus Mendoza,Argentinisches Restaurant,Johannisthaler Chaussee 307 - in den Gropius Passagen,12351 Berlin–Neukölln,(030) 603 303 5
Migo Marokkanische Küche,Marokkanisches Restaurant,Mainzer Str. 41,12053 Berlin–Neukölln,None
Lechle & Lechle GbR,Imbiss,Columbiadamm 160,10965 Berlin–Neukölln,(0159) 017 353 15
Lechle & Lechle GbR,Imbiss,Kiehlufer 75,12059 Berlin–Neukölln,(0159) 012 490 82
Mucha Muchacha,Mexikanisches Restaurant,Pflügerstr. 19,12047 Berlin–Neukölln,None
Nini e Pettirosso,Pizzeria,Selkestr. 27,12051 Berlin–Neukölln,(030) 688 130 61
No Bananas,Mediterranes Restaurant,Pannierstr. 29,12047 Berlin–Neukölln,None
Nokta Grillhaus,Internationales Restaurant,Neuköllner Straße 259,12357 Berlin–Neukölln,None
Oliveto,Italienisches Restaurant,Pannierstr. 9a,12047 Berlin–Neukölln,None
On Egin,Tapasbar,Wildenbruchstr. 88,12045 Berlin–Neukölln,(030) 841 139 18
Os’ Kitchen,Arabisches Restaurant,Anzengruberstr. 20,12043 Berlin–Neukölln,(030) 239 000 58
Osteria Sippi,Italienisches Restaurant,Sanderstr. 10a,12047 Berlin–Neukölln,None
Pan Africa,Afrikanisches Restaurant,Kirchhofstr. 41,12055 Berlin–Neukölln,None
China Restaurant Panda II,Chinesisches Restaurant,Rudower Str. 173,12351 Berlin–Neukölln,(030) 660 982 30
Paolo Pinkel,Internationales Restaurant,Karl-Marx-Str. 55,12043 Berlin–Neukölln,(030) 258 039 80
Pecados,Internationales Restaurant,Sonnenallee 127,12059 Berlin–Neukölln,(030) 789 508 54
Pho H&D,Vietnamesisches Restaurant,Friedelstr. 22,12047 Berlin–Neukölln,None
Pizza Europa,Imbiss,Alt-Buckow 1,12349 Berlin–Neukölln,(030) 605 789 7
Pizza Jack,Pizzaservice,Elly-Heuss-Knapp-Str. 21,12355 Berlin–Neukölln,(030) 664 632 28
Pizza Max,Pizzaservice,Goldhähnchenweg 2,12359 Berlin–Neukölln,(030) 601 205 7
Pizzeria da Izzi,Italienisches Restaurant,Sonnenallee 142,12059 Berlin–Neukölln,None
Inh. Antonino Toni Mallia,Pizzaservice,Alt-Rudow 24,12357 Berlin–Neukölln,(030) 664 411 4
Pizzeria Mimo,Pizzeria,Braunschweiger Str. 12,12055 Berlin–Neukölln,(030) 568 207 73
Pizzeria Sunuraghe,Pizzeria,Richardplatz 1,12055 Berlin–Neukölln,(030) 681 919 5
Pizzeria Vivo,Pizzaservice,Sonnenallee 67,12045 Berlin–Neukölln,(0176) 637 570 92
Portofino,Italienisches Restaurant,Sonnenallee 225 - im Estrel Hotel,12057 Berlin–Neukölln,(030) 683 122 602
Restaurant Amira,Aegyptisches Restaurant,Donaustr. 131,12043 Berlin–Neukölln,(030) 623 379 0
Restaurant Caramina,Persisches Restaurant,Herrfurthstr. 10,12049 Berlin–Neukölln,(030) 779 052 11
Restaurant International,Internationales Restaurant,Quarzweg 98,12349 Berlin–Neukölln,(030) 742 402 7
Restaurant Maracas,Mexikanisches Restaurant,Neuköllner Str. 201-203,12357 Berlin–Neukölln,(030) 923 586 26
Restaurant Paran,Koreanisches Restaurant,Sanderstr. 17,12047 Berlin–Neukölln,None
Restaurant zum alten Krug,Deutsches Restaurant,Alt-Rudow 59,12355 Berlin–Neukölln,(030) 663 302 2
Reuter Terrassen,Chinesisches Restaurant,Buschkrugallee 226,12359 Berlin–Neukölln,(030) 601 815 7
Rigoletto,Italienisches Restaurant,Neuköllner Str. 235,12357 Berlin–Neukölln,(030) 661 102 4
Ristorante Cuore Salentino,Italienisches Restaurant,Neuköllner Str. 243,12357 Berlin–Neukölln,(030) 669 383 33
Ristorante La Fontana,Italienisches Restaurant,Waltersdorfer Chaussee 122,12355 Berlin–Neukölln,(030) 663 300 8
Ristorante Pizzeria Enzo,Italienisches Restaurant,Erkstr. 10,12043 Berlin–Neukölln,(030) 680 879 46
Rivado Steakhaus,Steakhaus,Gerlinger Straße 64,12349 Berlin–Neukölln,(030) 742 831 4
Sadhu 2,Indisches Restaurant,Pannierstr. 54,12047 Berlin–Neukölln,None
Schwabylon Spätzle-Exil,Imbiss,Pannierstr. 9,12047 Berlin–Neukölln,(01590) 551 229 9
Shaan Restaurant,Indisches Restaurant,Richardplatz 20,12055 Berlin–Neukölln,(030) 680 893 82
Sole D'Oro,Pizzeria,Johannisthaler Chaussee 398,12351 Berlin–Neukölln,(030) 604 689 8
Ssam Korean Barbeque,Koreanisches Restaurant,Kottbusser Damm 96,10967 Berlin–Neukölln,(030) 490 895 35
Sushi Yana,Sushirestaurant,Flughafenstraße 76,12049 Berlin–Neukölln,(030) 238 887 64
Tabibito,Japanisches Restaurant,Karl-Marx-Str. 56,12043 Berlin–Neukölln,(030) 624 134 5
Tandoori Palace,Indisches Restaurant,Donaustr. 27,12043 Berlin–Neukölln,None
Taverna Olympia,Griechisches Restaurant,Emser Str. 73,12051 Berlin–Neukölln,(030) 626 219 2
Tequila Steakhaus GmbH,Steakhaus,Zadekstr. 1,12351 Berlin–Neukölln,(030) 660 688 44
TISK Speisekneipe,Deutsches Restaurant,Neckarstr. 12,12053 Berlin–Neukölln,(030) 398 200 000
Torero Steakhaus,Steakhaus,Neuköllner Str. 251,12357 Berlin–Neukölln,(030) 661 401 1
Durak Türkiyem UG,Tuerkisches Restaurant,Karl-Marx-Str. 30,12043 Berlin–Neukölln,(030) 813 034 36
Abonim,Sushirestaurant,Wisbyer Str. 69,10439 Berlin–Pankow,None
Athena-Roma Gaststättenbetrieb GmbH & Co KG,Italienisches Restaurant,Jenny-Lind-Str. 7,13189 Berlin–Pankow,(030) 401 068 40
Athos,Griechisches Restaurant,Hermann-Hesse-Str. 27,13156 Berlin–Pankow,(030) 814 772 87
Auszeit,Internationales Restaurant,Hermann-Hesse-Str. 15,13156 Berlin–Pankow,(030) 707 110 00
Berliner Grillhaus,Imbiss,Berliner Str. 30,13189 Berlin–Pankow,(030) 470 332 68
burgerme,Burger,Grabbeallee 61,13156 Berlin–Pankow,(030) 467 247 487
Café Nord,Deutsches Restaurant,Grunowstr. 21,13187 Berlin–Pankow,(030) 494 009 17
Call a Pizza,Pizzaservice,Damerowstr. 60,13187 Berlin–Pankow,(030) 475 337 26
Centenario,Mexikanisches Restaurant,Dietzgenstr. 119,13158 Berlin–Pankow,(030) 470 363 03
Domino's Pizza,Pizzaservice,Kastanienallee 58a,13158 Berlin–Pankow,(030) 475 596 96
Ristorante Firenze,Italienisches Restaurant,Florastr. 27,13187 Berlin–Pankow,(030) 484 763 96
Restaurant Gartenküche,Internationales Restaurant,Waldsteg 65,13158 Berlin–Pankow,(030) 916 785 2
HD-Hüttendomizil,Deutsches Restaurant,Kreuzstr. 18b,13187 Berlin–Pankow,(030) 495 008 80
Hey Cheuk Lau,Chinesisches Restaurant,Breite Str. 4a,13187 Berlin–Pankow,(030) 485 179 6
KFC Kentucky Fried Chicken,Fast Food,Prenzlauer Promenade 87,13089 Berlin–Pankow,(030) 338 953 40
La Paz,Mexikanisches Restaurant,Florastr. 14,13187 Berlin–Pankow,(030) 499 136 25
Restaurant Landhaus Pankow,Deutsches Restaurant,Mühlenstr. 30,13187 Berlin–Pankow,(030) 483 319 33
Bistro Yildirim Sercan,Imbiss,Dietzgenstr. 77,13156 Berlin–Pankow,(030) 477 554 86
Pankoff,Deutsches Restaurant,Breite Str. 22,13187 Berlin–Pankow,(030) 475 377 69
Pizza Max,Pizzaservice,Wollankstr. 20,13187 Berlin–Pankow,(030) 493 101 2
Restaurant Mexico,Mexikanisches Restaurant,Hertzstr. 22,13158 Berlin–Pankow,(030) 470 354 89
Ristorante Francavilla,Italienisches Restaurant,Dietzgenstr. 70,13156 Berlin–Pankow,(030) 474 825 23
Ristorante Laurus,Italienisches Restaurant,Mühlenstr. 38,13187 Berlin–Pankow,(030) 478 711 6
Ristorante Trattoria Siena,Italienisches Restaurant,Friedrich-Engels-Str. 149,13158 Berlin–Pankow,(030) 417 209 42
Roji - Taste of Japan,Japanisches Restaurant,Mühlenstr. 1,13187 Berlin–Pankow,(030) 296 844 88
Schaukelpferd,Deutsches Restaurant,Schönholzer Weg 13,13158 Berlin–Pankow,(030) 916 599 8
SchillerBurger - Pankow,Imbiss,Berliner Str. 11,13187 Berlin–Pankow,(030) 499 887 95
Schoenholz Brasserie,Franzoesisches Restaurant,Wolfshagener Str. 87,13187 Berlin–Pankow,(0171) 898 036 7
Steak-Company,Steakhaus,Grunowstr. 1,13187 Berlin–Pankow,None
Tele Pizza,Pizzaservice,Blankenburger Str. 149,13127 Berlin–Pankow,(030) 209 129 12
Trattoria Pasta Degli Angeli,Italienisches Restaurant,Dietzgenstr. 63,13156 Berlin–Pankow,(030) 914 254 87
Trattoria Rossini,Italienisches Restaurant,Florastr. 96a,13187 Berlin–Pankow,(030) 495 000 93
Ungarische Gaststätte,Ungarisches Restaurant,Eschengraben 41,13189 Berlin–Pankow,(030) 473 230 0
Zum Eisernen Gustav,Deutsches Restaurant,Hauptstr. 59a,13127 Berlin–Pankow,(030) 914 257 07
Zum Torhaus,Deutsches Restaurant,Nordendstr. 46,13156 Berlin–Pankow,(030) 916 611 4
A Cabana,Portugiesisches Restaurant,Hufelandstr. 15,10407 Berlin–Prenzlauer Berg,None
Agni,Indisches Restaurant,Prenzlauer Allee 145,10409 Berlin–Prenzlauer Berg,(030) 550 655 78
Akemi - Asian Soul Kitchen,Asiatisches Restaurant,Rykestr. 39,10405 Berlin–Prenzlauer Berg,(030) 440 131 88
Inh. Almudena Rama Coronado,Spanisches Restaurant,Marienburger Str. 29,10405 Berlin–Prenzlauer Berg,(030) 443 109 96
Al Dente,Italienisches Restaurant,Greifswalder Str. 29,10405 Berlin–Prenzlauer Berg,(030) 425 442 4
Aldente,Italienisches Restaurant,Schönhauser Allee 103,10439 Berlin–Prenzlauer Berg,(030) 447 150 23
Alin Gaza Kitchen,Arabisches Restaurant,Eberswalder Str. 1,10437 Berlin–Prenzlauer Berg,None
Allan's Breakfast Club and Wine Bar,Australisches Restaurant,Rykestr. 13,10405 Berlin–Prenzlauer Berg,(030) 239 251 34
Alois S,Spanisches Restaurant,Senefelderstr. 18,10437 Berlin–Prenzlauer Berg,None
AndaluZia,Mediterranes Restaurant,Rhinower Str. 7,10437 Berlin–Prenzlauer Berg,None
Anh Dao,Veganes Restaurant,Danziger Str. 42,10435 Berlin–Prenzlauer Berg,(030) 443 527 07
Anjoy,Vietnamesisches Restaurant,Rykestr. 11,10405 Berlin–Prenzlauer Berg,None
Antichi Aromi,Italienisches Restaurant,Greifenhagener Str. 38,10437 Berlin–Prenzlauer Berg,None
A-Petit,Asiatisches Restaurant,Wörther Str. 25,10405 Berlin–Prenzlauer Berg,(030) 914 663 66
Aromi e Sapori,Italienisches Restaurant,Straßburger Str. 29,10405 Berlin–Prenzlauer Berg,(030) 440 106 61
Asia Dream,Asiatisches Restaurant,Prenzlauer Allee 89,10405 Berlin–Prenzlauer Berg,(030) 421 703 2
Basil,Vietnamesisches Restaurant,Winsstr. 65,10405 Berlin–Prenzlauer Berg,None
Bb Home,Vietnamesisches Restaurant,Danziger Straße 43,10435 Berlin–Prenzlauer Berg,(030) 473 739 97
Bear Burger,Burger,Greifswalder Str. 215,10405 Berlin–Prenzlauer Berg,(030) 984 248 15
Berliner Bürgerstuben,Deutsches Restaurant,Stargarder Str. 64,10437 Berlin–Prenzlauer Berg,(0177) 551 597 6
Bibim,Koreanisches Restaurant,Danziger Str. 36,10435 Berlin–Prenzlauer Berg,(030) 443 193 06
Blackbeards BBQ Joint,Amerikanisches Restaurant,Pappelallee 55,10437 Berlin–Prenzlauer Berg,(030) 411 922 88
Restaurant Blaue Adria,Kroatisches Restaurant,Cotheniusstr. 8,10407 Berlin–Prenzlauer Berg,(030) 424 822 5
Brgrs Brgrs - Organic Burgers,Biorestaurant,Greifswalder Str. 37,10405 Berlin–Prenzlauer Berg,(0176) 345 944 87
Bricole,Internationales Restaurant,Senefelderstr. 30,10437 Berlin–Prenzlauer Berg,(030) 844 213 62
Bricole,Gourmetrestaurant,Senefelderstraße 30,10437 Berlin–Prenzlauer Berg,None
Murat Yildiz,Internationales Restaurant,Prenzlauer Alle 27a,10405 Berlin–Prenzlauer Berg,(030) 526 851 94
Burger Dream,Burger,Danziger Str. 12,10435 Berlin–Prenzlauer Berg,(030) 983 547 56
Burger King - Landsberger Allee,Fast Food,Landsberger Allee 119,10407 Berlin–Prenzlauer Berg,(030) 417 245 41
Burger King Beteiligungs GmbH,Fast Food,Schönhauser Allee 79-80,10439 Berlin–Prenzlauer Berg,(030) 547 148 69
Burger World Berlin,Burger,Oderberger Str. 16,10435 Berlin–Prenzlauer Berg,(030) 343 947 31
Burgerie,Burger,Schönhauser Allee 50,10437 Berlin–Prenzlauer Berg,(030) 832 124 40
Burgermann,Burger,Schönhauser Allee 173,10119 Berlin–Prenzlauer Berg,(030) 780 885 26
Burgerzimmer,Burger,Danziger Str. 63,10435 Berlin–Prenzlauer Berg,(030) 844 339 84
Café Bar Moloko,Internationales Restaurant,Lettestr. 6a,10437 Berlin–Prenzlauer Berg,None
Café Krone,Internationales Restaurant,Oderberger Str. 38,10435 Berlin–Prenzlauer Berg,(030) 351 257 72
Call a Pizza,Pizzaservice,Wichertstr. 43,10439 Berlin–Prenzlauer Berg,(030) 444 704 1
Cat Tuong,Veganes Restaurant,Kastanienallee 89,10435 Berlin–Prenzlauer Berg,(030) 440 830 8
Côbéin,Vietnamesisches Restaurant,Prenzlauer Allee 48,10405 Berlin–Prenzlauer Berg,None
Cecconi's,Italienisches Restaurant,Torstr. 1,10119 Berlin–Prenzlauer Berg,(030) 405 044 680
Cenacolo,Italienisches Restaurant,Sredzkistr. 23,10435 Berlin–Prenzlauer Berg,(030) 440 447 43
Centenario,Mexikanisches Restaurant,Pappelallee 56,10437 Berlin–Prenzlauer Berg,None
Chandni,Indisches Restaurant,Immanuelkirchstr. 32,10405 Berlin–Prenzlauer Berg,(030) 440 623 8
Charme Thai Bistro Cafe,Thailaendisches Restaurant,Lychener Str. 13,10437 Berlin–Prenzlauer Berg,(030) 437 358 08
Chez Maurice,Franzoesisches Restaurant,Bötzowstr. 39,10407 Berlin–Prenzlauer Berg,(030) 425 050 6
Chutnify,Indisches Restaurant,Sredzkistr. 43,10435 Berlin–Prenzlauer Berg,(030) 440 107 95
Core,Koreanisches Restaurant,Pappelallee 84,10437 Berlin–Prenzlauer Berg,(030) 243 245 49
Crêpestation,Bistro,Pappelallee 58,10437 Berlin–Prenzlauer Berg,(030) 364 471 05
Dan's Dim Sum,Chinesisches Restaurant,Gleimstr. 17,10437 Berlin–Prenzlauer Berg,(030) 473 721 22
Restaurant das Pfeffer,Internationales Restaurant,Schönhauser Allee 176,10119 Berlin–Prenzlauer Berg,(030) 443 834 04
Datscha - Prenzlauer Berg,Russisches Restaurant,Stargarder Straße 24,10437 Berlin–Prenzlauer Berg,None
Delizie d’Italia,Italienisches Restaurant,Kollwitzstr. 100,10435 Berlin–Prenzlauer Berg,(030) 484 949 77
Der blaue Fuchs,Georgisches Restaurant,Knaackstraße 43,10435 Berlin–Prenzlauer Berg,(030) 260 742 44
Der Fischladen,Imbiss,Schönhauser Allee 128,10437 Berlin–Prenzlauer Berg,(030) 400 056 12
Ditsch,Fast Food,Schönhauser Allee 80,10439 Berlin–Prenzlauer Berg,(030) 467 969 65
Domino's Pizza Deutschland GmbH,Pizzaservice,Prenzlauer Allee 231,10405 Berlin–Prenzlauer Berg,(030) 428 405 0
Domu Nosta,Italienisches Restaurant,Knaackstr. 45,10435 Berlin–Prenzlauer Berg,None
El Sabor,Mexikanisches Restaurant,Gleimstr. 10,10437 Berlin–Prenzlauer Berg,(030) 912 067 46
El Xampanyet,Mediterranes Restaurant,Gleimstr. 27,10437 Berlin–Prenzlauer Berg,None
Inh. Thi Quynh Le,Vietnamesisches Restaurant,Lychener Str. 24,10437 Berlin–Prenzlauer Berg,(030) 407 563 49
Engels-Brunch,Deutsches Restaurant,Mahlerstr. 5,13088 Berlin–Prenzlauer Berg,(030) 920 454 73
Enzo Sushi Bar,Japanisches Restaurant,Marienburger Straße 38,10405 Berlin–Prenzlauer Berg,None
Escendo,Italienisches Restaurant,Gleimstr. 21,10437 Berlin–Prenzlauer Berg,None
Esse Osteria,Italienisches Restaurant,Prenzlauer Allee 41,10405 Berlin–Prenzlauer Berg,(030) 440 172 37
Fabbrica del Gusto,Italienisches Restaurant,Pappelallee 36,10437 Berlin–Prenzlauer Berg,(030) 414 749 60
Feel Seoul Good,Koreanisches Restaurant,Husemannstr. 2,10435 Berlin–Prenzlauer Berg,(030) 474 967 66
Fellas,Internationales Restaurant,Stargarder Str. 3,10437 Berlin–Prenzlauer Berg,(030) 644 321 36
Polnisches Catering Filafood,Polnisches Restaurant,Hosemannstr. 61,10409 Berlin–Prenzlauer Berg,(0176) 676 141 34
Fischfabrik,Bistro,Danziger Str. 24,10435 Berlin–Prenzlauer Berg,(030) 643 145 81
Fleischerei,Deutsches Restaurant,Schönhauser Allee 8,10119 Berlin–Prenzlauer Berg,(030) 501 821 17
Försters,Veganes Restaurant,Dunckerstr. 2a,10437 Berlin–Prenzlauer Berg,(030) 984 189 42
Frau Mittenmang,Internationales Restaurant,Rodenbergstr. 37,10439 Berlin–Prenzlauer Berg,None
MkKn GmbH & Co KG,Pizzaservice,Neumannstr. 3c,13189 Berlin–Prenzlauer Berg,(030) 912 038 20
Frühstücksrestaurant Freiraum,Internationales Restaurant,Buchholzer Str. 5 - Ecke Greifenhagener Str.,10437 Berlin–Prenzlauer Berg,(030) 467 968 00
Fuku Sushi,Sushirestaurant,Husemannstr. 14,10435 Berlin–Prenzlauer Berg,None
Gasthaus Alt Wien,Oesterreichisches Restaurant,Hufelandstr. 22,10407 Berlin–Prenzlauer Berg,(030) 701 296 10
Pastabar Gianni Gillone,Italienisches Restaurant,Schönhauser Allee 186a,10119 Berlin–Prenzlauer Berg,(030) 443 238 30
Girasol,Mexikanisches Restaurant,Raumerstr. 30,10437 Berlin–Prenzlauer Berg,(030) 445 856 8
